City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Pelham,US,75.2,few clouds,42.73,-71.32,Tim and Jeanne Glasheen
366,Zaranj,AF,87.8,clear sky,30.95,61.86,فروشگاه ابزارحالت کشاوزی
367,Saint George,GR,88.0,few clouds,39.45,22.34,MX PARK KYPARISSOS
368,Chibuto,MZ,72.91,clear sky,-24.69,33.53,Hotel Chibuto
377,Wattegama,LK,73.99,broken clouds,7.35,80.68,HOTEL RED LETTER
378,Samana,EC,78.8,broken clouds,0.12,-76.97,Nantu
380,Sinnar,IN,70.75,light rain,19.85,74.0,OYO 74339 Hotel G9
381,Gulfport,US,78.8,moderate rain,30.37,-89.09,Courtyard by Marriott Gulfport Beachfront
383,Kahului,US,78.8,light rain,20.89,-156.47,Maui Seaside Hotel
385,Dakar,SN,82.4,light rain,14.69,-17.45,Novotel Dakar
387,Japura,ID,74.53,moderate rain,-0.42,102.29,Kita Losmen
389,Kaputa,ZM,74.89,clear sky,-8.47,29.66,Chelelwa Charlets
390,Sao Jose Da Coroa Grande,BR,76.69,light rain,-8.9,-35.15,Crôa Mares Hotel
394,Formosa,BR,82.45,scattered clouds,-15.55,-47.33,Hotel Shalon
397,Presidencia Roque Saenz Pena,AR,83.35,few clouds,-26.79,-60.44,Hotel Aconcagua
401,Shibganj,BD,83.17,light rain,25.01,89.36,রব্বানী কর্মজীবী আবাসিক মেস
408,Isangel,VU,71.83,light rain,-19.55,169.27,Tanna Lodge
409,San Jose,HN,87.49,scattered clouds,14.25,-87.96,APUFRAM
410,Kavaratti,IN,79.75,moderate rain,10.57,72.64,Dharul Hudha
411,Chapais,CA,73.4,clear sky,49.78,-74.86,Hôtel Opémiska
416,Mizdah,LY,82.63,clear sky,31.45,12.98,محمدالمبروك الاريقط
418,Ishigaki,JP,82.63,clear sky,24.34,124.16,Hotel Peace Land Ishigakijima
422,Desbiens,CA,78.01,few clouds,48.42,-71.95,Motel Lac St-Jean Inc
426,Nantucket,US,71.01,scattered clouds,41.28,-70.1,Jared Coffin House
427,Tabligbo,TG,80.6,few clouds,6.59,1.5,Grand Hôtel MINA
429,Bang Saphan,TH,80.65,overcast clouds,11.21,99.51,Ladawan Boutique Hotel
432,Lagoa,PT,80.01,few clouds,37.14,-8.45,DETAILS Vale da Lapa Village Resort
434,Keti Bandar,PK,80.65,broken clouds,24.14,67.45,Haji laloo memon house
439,Ulvik,NO,73.4,clear sky,60.57,6.92,Ulvik Hotel
440,Luanda,AO,73.4,scattered clouds,-8.83,13.24,EPIC SANA Luanda
443,Kushima,JP,73.63,light rain,31.5,131.29,ゲストハウスたけだ
446,Sidi Ali,DZ,87.31,overcast clouds,36.1,0.42,Complexe touristique haje bezine
452,Crewe,GB,82.0,clear sky,53.1,-2.44,Crewe Hall Hotel & Spa
459,Magione,IT,82.4,clear sky,43.14,12.2,Villaggio Albergo Le Tre Isole
462,Erzincan,TR,72.0,broken clouds,39.75,39.49,Eriza Boutique Hotel
463,Oistins,BB,84.2,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
466,Kavieng,PG,83.35,scattered clouds,-2.57,150.8,Nusa Island Retreat
467,Pachino,IT,86.0,few clouds,36.72,15.09,Il Veliero
469,Potiskum,NG,77.23,light rain,11.71,11.08,Rimi uku
471,Jamshedpur,IN,77.41,few clouds,22.8,86.2,Ginger Jamshedpur
473,Merauke,ID,75.43,broken clouds,-8.49,140.4,Swiss-Belhotel Merauke
474,Mahebourg,MU,72.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
477,Sola,TZ,75.79,few clouds,-3.17,33.8,Pamba hotel
478,Hearst,CA,74.71,overcast clouds,49.69,-83.67,Companion
479,Ciechocinek,PL,86.0,clear sky,52.88,18.79,Pałac Łazienki II
481,Frederick,US,77.0,scattered clouds,39.41,-77.41,Hampton Inn & Suites Frederick-Fort Detrick
482,Laguna,BZ,89.6,few clouds,16.17,-88.94,Kiskadee Lodge
486,Bubaque,GW,80.11,light rain,11.28,-15.83,"Casa Dora, Bubaque"
487,Pangai,TO,73.4,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
490,San Cristobal,HN,87.13,broken clouds,14.68,-86.92,Casa de Yeimy Viera
491,Springfield,US,86.0,light rain,37.22,-93.29,Best Western Route 66 Rail Haven
493,Pasighat,IN,74.89,broken clouds,28.06,95.33,Siang Guest House
494,Beyneu,KZ,76.33,overcast clouds,45.32,55.19,Hotel Бейнеу
495,Samarai,PG,72.37,light rain,-10.62,150.67,Nuli Sapi
500,Vung Tau,VN,78.13,overcast clouds,10.35,107.08,Seaside Resort
503,Mechanicsville,US,78.01,light intensity drizzle,37.62,-77.34,Holiday Inn Express Richmond-Mechanicsville
505,Roanoke Rapids,US,75.0,light rain,36.46,-77.65,Hampton Inn Roanoke Rapids
507,Senno,RU,73.4,light rain,57.76,27.95,House in the village
511,Quatre Cocos,MU,72.0,broken clouds,-20.21,57.76,Sunrise Attitude Hotel
512,Benito Juarez,CU,89.6,scattered clouds,22.29,-79.63,"Hostal ""Las Tejas"""
514,Syracuse,US,75.99,clear sky,43.05,-76.15,Crowne Plaza Syracuse
515,Kisangani,CD,78.8,broken clouds,0.52,25.21,Grand Ramela Hotel
517,Ushtobe,KZ,76.33,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
520,Vardo,US,77.0,few clouds,39.62,-77.74,"Holiday Inn Express & Suites Hagerstown, an IHG Hotel"
521,Segou,SN,77.0,broken clouds,12.41,-12.29,Africa Cascade
522,Port Blair,IN,81.19,moderate rain,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
523,Khani,GE,77.0,scattered clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
525,Jieshi,CN,81.0,light rain,22.82,115.83,Yuehai Hotel
526,Alfatar,BG,84.99,few clouds,43.95,27.28,Семеен хотел Братила
528,Calama,CL,77.0,clear sky,-22.46,-68.93,Park Hotel Calama
530,Sheridan,US,73.99,few clouds,39.65,-105.03,"Holiday Inn Denver Lakewood, an IHG Hotel"
532,Namatanai,PG,78.31,moderate rain,-3.66,152.44,Namatanai Hotel
534,Jasper,US,77.0,light intensity drizzle,33.83,-87.28,Hampton Inn Jasper
537,Yokadouma,CM,71.11,overcast clouds,3.52,15.05,Hôtel De Ville De Yokadouma
538,Ternate,PH,78.8,broken clouds,14.29,120.72,Puerto Azul Clubhouse
541,Roma,IT,86.0,thunderstorm,41.89,12.48,Cosmopolita Hotel Roma Tapestry Collection by Hilton
543,Bandarbeyla,SO,77.41,broken clouds,9.49,50.81,JABIR HOTEL
546,Barabinsk,RU,70.03,broken clouds,55.35,78.35,Gostinichnyy Kompleks Noy
548,Bauchi,NG,72.37,light rain,10.31,9.85,Fariah Suites
549,Port Keats,AU,70.21,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
550,Lucapa,AO,76.33,broken clouds,-8.42,20.74,Lírio Mendes
552,Grong,NO,71.6,clear sky,64.47,12.32,Grong Farm and Guesthouse
553,Moose Factory,CA,78.8,clear sky,51.26,-80.61,Cree Village Eco Lodge
554,Tananger,NO,75.2,clear sky,58.94,5.59,Hummeren Hotel
557,Eyl,SO,77.05,broken clouds,7.98,49.82,DAAWAD HOTEL EYL
558,Saint-Augustin,CA,80.01,few clouds,45.63,-73.98,Camping Mirabel
561,Deep River,CA,78.01,few clouds,46.1,-77.49,Deep River Motel
562,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
563,Eureka,US,73.0,haze,40.8,-124.16,Eureka Inn Trademark By Wyndham
564,Moen,BE,90.0,clear sky,50.77,3.4,'t Bed & de Tafel
